有1497个T字塔，模型识别准确率为0.92
T字塔的第1个候选项为:交流同塔并架耐张塔,数量为：31
T字塔的第2个候选项为:直流干字耐张塔,数量为：31 
T字塔的第3个候选项为:交流干字耐张塔,数量为：20
T字塔的第4个候选项为:交流同塔并架直线塔,数量为：9
T字塔的第5个候选项为:酒杯塔,数量为：2
T字塔的第6个候选项为:猫头塔,数量为：1
T字塔的第7个候选项为:门型塔,数量为：0
T字塔的第8个候选项为:T字塔,数量为：0
T字塔的第9个候选项为:干字直线塔,数量为：0
T字塔的第10个候选项为:直流同塔并驾直线塔,数量为：0
T字塔的第11个候选项为:直流同塔并驾耐张塔,数量为：0
T字塔的第12个候选项为:拉V塔,数量为：0
T字塔的第13个候选项为:上字塔,数量为：0


有1741个交流同塔并架直线塔，模型识别准确率为0.83
交流同塔并架直线塔的第1个候选项为:交流干字耐张塔,数量为：151
交流同塔并架直线塔的第2个候选项为:直流干字耐张塔,数量为：52
交流同塔并架直线塔的第3个候选项为:交流同塔并架耐张塔,数量为：45
交流同塔并架直线塔的第4个候选项为:T字塔,数量为：23
交流同塔并架直线塔的第5个候选项为:猫头塔,数量为：3
交流同塔并架直线塔的第6个候选项为:酒杯塔,数量为：2
交流同塔并架直线塔的第7个候选项为:门型塔,数量为：0
交流同塔并架直线塔的第8个候选项为:干字直线塔,数量为：0
交流同塔并架直线塔的第9个候选项为:直流同塔并驾直线塔,数量为：0
交流同塔并架直线塔的第10个候选项为:直流同塔并驾耐张塔,数量为：0
交流同塔并架直线塔的第11个候选项为:交流同塔并架直线塔,数量为：0
交流同塔并架直线塔的第12个候选项为:拉V塔,数量为：0
交流同塔并架直线塔的第13个候选项为:上字塔,数量为：0


有602个交流同塔并架耐张塔，模型识别准确率为0.82
交流同塔并架耐张塔的第1个候选项为:交流干字耐张塔,数量为：71
交流同塔并架耐张塔的第2个候选项为:直流干字耐张塔,数量为：24
交流同塔并架耐张塔的第3个候选项为:交流同塔并架直线塔,数量为：10
交流同塔并架耐张塔的第4个候选项为:猫头塔,数量为：0
交流同塔并架耐张塔的第5个候选项为:酒杯塔,数量为：0
交流同塔并架耐张塔的第6个候选项为:门型塔,数量为：0
交流同塔并架耐张塔的第7个候选项为:T字塔,数量为：0
交流同塔并架耐张塔的第8个候选项为:干字直线塔,数量为：0
交流同塔并架耐张塔的第9个候选项为:直流同塔并驾直线塔,数量为：0
交流同塔并架耐张塔的第10个候选项为:直流同塔并驾耐张塔,数量为：0
交流同塔并架耐张塔的第11个候选项为:交流同塔并架耐张塔,数量为：0
